Date,BAC,BP,EBAY,GM,HMC,HP,PYPL,RYAAY,SHEL,X
08/07/2024,40.13364029,35.45539474,52.32615662,46.32962418,31.81999969,34.899189,59.09000015,46.5674057,71.28291321,39.10599899
09/07/2024,40.92406082,33.75780487,52.18738937,46.04099274,31.63999939,34.98744202,59,46.57522964,71.14568329,38.69698334
10/07/2024,41.24023056,33.85481262,52.51448441,46.30971527,32.06000137,35.61501694,58.90000153,46.64563751,71.4887619,38.08844757
11/07/2024,41.30939102,34.00031662,53.54534912,47.70308685,32.18000031,36.4681282,59.99000168,47.50618744,71.52796936,38.63712692
12/07/2024,41.09202576,34.13612747,53.71385574,48.77797318,32.59000015,36.87017059,60.27000046,46.73560333,71.63579559,39.20575714
15/07/2024,41.38843155,33.98091507,53.24798584,49.0666008,32.49000168,38.8999939,60.47000122,46.37182617,71.51816559,38.46753693
16/07/2024,43.60161591,33.84511185,54.93304443,49.53437805,32.56000137,40.10611725,61.81000137,47.1111145,71.24369812,38.10840225
17/07/2024,43.45340729,34.35923386,54.10042953,49.66376495,32.54000092,40.37087631,61.24000168,47.00550079,71.83184052,38.04854202
18/07/2024,42.49502182,34.52414703,53.91209793,49.41494751,31.85000038,38.46853256,60,45.30005264,71.80243683,37.74925995
19/07/2024,42.38634109,34.32043839,53.12903595,48.07133484,31.43000031,37.46833038,59.33000183,44.71722794,70.82219696,38.08844757
22/07/2024,41.79352188,34.27193451,53.43631363,49.3253746,32.33000183,37.04667664,60.77000046,37.82501221,70.7829895,38.00863647
23/07/2024,41.90220642,33.9033165,52.77220154,46.16042709,32.18999863,37.00745392,59.70999908,37.21871948,69.90077209,39.3853302
24/07/2024,41.68484116,33.61230087,53.18851089,46.26990891,31.17000008,37.01726151,58.06999969,37.16786957,69.77334595,39.4950676
25/07/2024,41.18094635,34.1264267,52.65325546,43.92107773,30.87000084,40.26301575,57.22000122,38.23181915,70.6653595,40.5325737
26/07/2024,41.17106628,34.19433212,53.70394516,43.91112518,31.28000069,39.31184387,58.29000092,40.06244278,70.62615967,40.65228653
29/07/2024,40.59801102,33.91301346,54.1301651,43.94098663,31.48999977,38.41950226,58.93999863,38.99457932,70.42030334,40.82187653
30/07/2024,40.78573608,33.76750565,54.91322327,44.02060699,31.62999916,38.60581589,64,39.83165741,70.54772949,40.13352966
31/07/2024,39.82735062,34.33013535,55.12137985,44.1101799,32.29999924,39.6354332,65.77999878,39.62434387,71.77303314,40.99146652
01/08/2024,39.02705002,33.71900177,55.7359314,43.16467667,30.97999954,37.77231598,65.30999756,39.1158371,71.49856567,40.5625
02/08/2024,37.13003922,33.05937195,55.70619583,40.97509384,30.03000069,35.6836586,61.97999954,38.63080215,70.26346588,40.19338608
05/08/2024,36.21117783,32.00201416,54.17972565,39.76086807,29.02000046,33.72247696,60.45999908,38.52127838,68.60686493,38.71693802
06/08/2024,36.47793961,31.95351028,55.4286499,40.41774368,29.60000038,33.19295883,62.75,38.00103378,68.3421936,39.76441574
07/08/2024,36.85338974,32.060215,54.62577438,40.45755768,29.64999962,33.34004974,62.74000168,38.25529099,69.2636261,40.93161011
08/08/2024,37.75249481,32.49673843,55.44847488,42.52770615,29.44000053,34.04607391,64.27999878,39.94509506,69.93998718,41.7097435
09/08/2024,37.82165527,32.73293304,56.02338409,43.27415466,29.48999977,34.14413452,64.72000122,40.7234993,70.45950317,41.27079391
12/08/2024,37.71297455,33.11675644,55.31962204,42.78647614,29.29000092,34.34025192,63.45999908,39.71430969,70.9888382,41.05105591
13/08/2024,37.99950027,33.17580414,55.21058655,43.11491394,29.89999962,33.57539368,65.11000061,40.30887222,70.87121582,41.84011841
14/08/2024,38.34531021,33.16596222,55.27006149,43.40354156,30.60000038,33.41849518,66.13999939,39.542202,71.47895813,42.2296524
15/08/2024,38.56267548,33.57930756,55.33944702,44.64762115,31.67000008,33.99704361,67.94000244,40.16023254,71.72402191,41.6803093
16/08/2024,38.86896515,33.56946564,55.01234436,45.10544205,31.71999931,33.83822632,67.95999908,40.14849854,71.91994476,41.74023819
19/08/2024,39.19501114,33.59899139,56.18197632,45.54336166,32.47000122,34.23527527,69.43000031,40.35581207,72.10796356,39.25320053
20/08/2024,38.22674561,32.85103607,56.43968964,45.76231766,31.82999992,32.53789902,71.88999939,40.00767899,70.65333557,37.90481186
21/08/2024,38.286026,32.98881531,58.16440582,46.33957672,32.16999817,32.5776062,71.45999908,39.9920311,70.544487,38.90362167
22/08/2024,38.77016449,32.96913147,58.50141525,46.24004745,32.02000046,32.16070938,71.51999664,39.90597916,70.70280457,38.1045723
23/08/2024,39.29381561,33.56946564,58.36264801,48.34005737,32.68999863,33.20295334,71.69999695,41.36108398,71.67256165,37.0957756
26/08/2024,39.44202042,33.84502792,58.48159027,48.519207,32.02000046,33.58014679,72.04000092,40.80173111,72.30587006,37.77496338
27/08/2024,39.19501114,33.83518982,58.84833908,49.01684189,32.59000015,33.173172,71.58999634,42.34289169,71.88036346,37.93477249
28/08/2024,39.47166061,33.68756485,57.27231216,48.81778717,32.54999924,32.40886307,70.43000031,42.57367706,71.19757843,37.34547424
29/08/2024,39.68902588,33.92376328,58.08510208,49.23579788,32.90000153,32.94487381,73.16000366,42.89834213,71.76161957,38.51408386
30/08/2024,40.26208115,33.42184067,58.85187149,49.54432678,32.95000076,32.38901138,72.43000031,43.59851456,70.91062164,37.86485672
03/09/2024,40.21268463,32.34911346,58.5531311,48.18081665,32.36000061,31.51550865,72,43.61415863,68.65445709,35.55760574
04/09/2024,40.01507568,31.89640617,58.7025032,48.22062683,31.77000046,30.73134232,72.61000061,42.93354416,67.79355621,29.34501457
05/09/2024,39.65938568,31.83735466,58.87178802,47.92205048,32.36999893,30.43355942,72.02999878,44.20089722,67.40763855,29.93431091
06/09/2024,38.54558182,31.39448738,58.95145416,47.03404617,31.30999947,30.11592293,68.88999939,43.96229172,66.210289,31.2327652
09/09/2024,39.25165558,31.29607201,59.18048859,47.29346466,31.53000069,30.67178535,69.34999847,44.22436523,66.72485352,32.78091812
10/09/2024,39.06270599,30.65637207,60.00699997,44.71926117,30.84000015,30.12584877,68.84999847,43.95838165,65.21085358,31.18282318
11/09/2024,38.78425598,30.79415512,60.47502899,44.56959534,30.97999954,30.55267334,69.34999847,43.97793961,65.51760864,33.3502388
12/09/2024,38.56547165,31.07955742,62.91474152,46.01633835,31.44000053,30.3839283,70.36000061,41.84612274,66.27955627,34.6986351
13/09/2024,38.43619156,31.33543777,63.17364883,46.1959343,31.46999931,29.6295414,70.09999847,42.70508194,66.74463654,36.02705002
16/09/2024,38.88370132,31.78814888,64.08979034,46.76465225,31.60000038,30.66185951,71.06999969,42.78911591,67.34825897,36.32669067
